scenario,metric,original_total,optimized_total,pct_reduction,display_pct_change
Nitrogen based,Nitrogen Emission,287739236.80885214,229643749.3183698,20.190325148139497,-20.190325148139497
Water based,Nitrogen Emission,287739236.80885214,261303334.62501252,9.187451276031998,-9.187451276031998
Nitrogen based,Nitrogen Leach,2391590187.444786,1852849788.3417373,22.526451309730778,-22.526451309730778
Water based,Nitrogen Leach,2391590187.444786,2129099835.0255003,10.975557342444809,-10.975557342444809
Nitrogen based,Greenhouse Gas emission,398546513.153932,240279871.505502,39.71095880276893,-39.71095880276893
Water based,Greenhouse Gas emission,398546513.153932,183263897.793722,54.01693610528732,-54.01693610528732
Nitrogen based,Profit,550112782949.4415,648636912810.0697,-17.909805573393317,17.909805573393317
Water based,Profit,550112782949.4415,639375126431.2944,-16.226189655741308,16.226189655741308
Nitrogen based,Calorie,955924593799921.0,1013802155162894.0,-6.054615786471439,6.054615786471439
Water based,Calorie,955924593799921.0,1033381986844842.5,-8.102876895029825,8.102876895029825
Nitrogen based,Phosphorus application,4580861940.3896265,4071253831.419732,11.124720971759947,-11.124720971759947
Water based,Phosphorus application,4580861940.3896265,4346610288.210073,5.113702513366484,-5.113702513366484
Nitrogen based,Nitrogen application,12891996042.564434,11498738207.654829,10.807153758887306,-10.807153758887306
Water based,Nitrogen application,12891996042.564434,12497126504.289253,3.0629045880209147,-3.0629045880209147
Nitrogen based,Phosphorus Surplus,3589737437.875405,2970597741.3388777,17.247492532572704,-17.247492532572704
Water based,Phosphorus Surplus,3589737437.875405,3213484984.361794,10.481336310108986,-10.481336310108986
Nitrogen based,Nitrogen Surplus,8285335580.939312,6624987861.425215,20.039595298152822,-20.039595298152822
Water based,Nitrogen Surplus,8285335580.939312,7519054562.570043,9.248641903318005,-9.248641903318005
Nitrogen based,Water Demand,467586094005.25684,318394096594.1964,31.906850807539872,-31.906850807539872
Water based,Water Demand,467586094005.25684,267036816407.03088,42.890342584904005,-42.890342584904005
